Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,134.620000,-99.060000,-90.000000,top
C4,100p,C_0402_1005Metric,56.786683,-39.766646,-90.000000,top
C5,100p,C_0402_1005Metric,56.756407,-43.664421,90.000000,top
C6,100p,C_0402_1005Metric,62.230000,-62.230000,0.000000,top
C7,100p,C_0402_1005Metric,56.653865,-52.845000,90.000000,top
C8,100p,C_0402_1005Metric,56.495102,-67.391245,-90.000000,top
C9,100p,C_0402_1005Metric,80.010000,-63.500000,-90.000000,top
C10,100p,C_0402_1005Metric,56.371932,-92.870041,-90.000000,top
C11,100p,C_0402_1005Metric,56.354705,-96.384327,90.000000,top
C12,100p,C_0402_1005Metric,92.400550,-93.969266,180.000000,top
C13,100p,C_0402_1005Metric,56.389145,-114.020756,-90.000000,top
C14,100p,C_0402_1005Metric,56.428201,-117.575260,90.000000,top
C15,100p,C_0402_1005Metric,74.930000,-90.185164,90.000000,top
R1,4700,R_0805_2012Metric,129.546597,-38.025553,180.000000,top
R2,1200,R_0603_1608Metric,134.620000,-39.370000,180.000000,top
R3,540,R_0603_1608Metric,133.350000,-50.800000,180.000000,top
R4,25,R_0805_2012Metric,68.580000,-75.214204,-90.000000,top
R5,50,R_0402_1005Metric,66.369743,-76.821357,180.000000,top
R6,25,R_0805_2012Metric,71.447606,-75.947531,180.000000,top
R7,25,R_0805_2012Metric,71.433418,-78.877061,180.000000,top
R8,25,R_0805_2012Metric,68.580000,-79.652500,90.000000,top
R9,50,R_0402_1005Metric,66.369743,-78.004628,180.000000,top
R10,25,R_0805_2012Metric,63.500000,-77.405707,180.000000,top
